Local time,Open,High,Low,Close,Volume
15.09.2019 01:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 02:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 03:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 04:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 05:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 06:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 07:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 08:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 09:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 10:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 11:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 12:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 13:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 14:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 15:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 16:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 17:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 18:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 19:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 20:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 21:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 22:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
15.09.2019 23:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
16.09.2019 00:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
16.09.2019 01:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
16.09.2019 02:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
16.09.2019 03:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
16.09.2019 04:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
16.09.2019 05:00:00.000 GMT+0900,108.057,108.057,108.057,108.057,0
16.09.2019 06:00:00.000 GMT+0900,107.476,107.721,107.457,107.721,1134.17
16.09.2019 07:00:00.000 GMT+0900,107.721,107.914,107.689,107.819,12422.8896
16.09.2019 08:00:00.000 GMT+0900,107.819,107.830,107.739,107.759,8403.7803
16.09.2019 09:00:00.000 GMT+0900,107.758,107.775,107.496,107.673,13349.6104
16.09.2019 10:00:00.000 GMT+0900,107.673,107.771,107.615,107.749,11029.2002
16.09.2019 11:00:00.000 GMT+0900,107.749,107.795,107.691,107.791,5511.0698
16.09.2019 12:00:00.000 GMT+0900,107.791,107.857,107.760,107.855,4097.21
16.09.2019 13:00:00.000 GMT+0900,107.856,107.861,107.775,107.813,2607.9399
16.09.2019 14:00:00.000 GMT+0900,107.815,107.906,107.815,107.861,4656.5298
